idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
101382,90.0,6.0,Yes,,2010,68,Male,1990,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12.0,37.0,34,40000.0,35000.0,40.0
101564,540.0,6.0,Yes,Socialdemokratiet - The Social democrats,1990,60,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18.0,37.0,48,140000.0,180000.0,49.0
101586,480.0,8.0,Yes,Socialdemokratiet - The Social democrats,1976,67,Male,1959,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",3.0,70.0,70,100000.0,,61.0
101596,120.0,8.0,Yes,SF Socialistisk Folkeparti - Socialist People's Party,2007,59,Female,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17.0,37.0,37,,,59.0
101599,720.0,4.0,Yes,Dansk Folkeparti - Danish People's Party,2007,Never too young,Female,1990,Folkeskole 9.-10. klasse,9.0,37.0,37,,,52.0
101645,120.0,9.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1967,60,Female,1944,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12.0,40.0,40,,,57.0
101653,90.0,7.0,Yes,Det Radikale Venstre - The Radical Liberal Party,1983,60,Female,1962,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19.0,32.0,32,21500.0,,60.0
101769,150.0,10.0,Yes,Socialdemokratiet - The Social democrats,1974,Never too young,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18.0,12.0,12,,,50.0
101814,90.0,7.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1984,Never too young,Male,1968,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13.0,37.0,45,40000.0,45000.0,52.0
101823,30.0,7.0,Yes,Socialdemokratiet - The Social democrats,1963,65,Male,1945,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17.0,37.0,40,,,45.0
101874,120.0,6.0,Yes,Socialdemokratiet - The Social democrats,2008,Never too young,Female,1994,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",10.0,37.0,41,24000.0,30000.0,79.0
101906,60.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1992,60,Male,1970,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4.0,37.0,37,40000.0,,58.0
102030,240.0,8.0,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1973,,Female,1955,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16.0,37.0,37,32000.0,,58.0
102162,60.0,8.0,Yes,Socialdemokratiet - The Social democrats,1962,65,Female,1946,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14.0,37.0,37,,,56.0
102231,35.0,8.0,Yes,Socialdemokratiet - The Social democrats,1986,50,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18.0,25.0,25,,,64.0
102281,60.0,8.0,Yes,Det Konservative Folkeparti - Conservative People's Party,1972,Never too young,Male,1953,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12.0,,55,,,66.0
102303,600.0,8.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2004,60,Female,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4.0,37.0,37,31500.0,35000.0,55.0
102328,270.0,6.0,Not eligible to vote,,"Still in parental home, never left 2 months",,Female,2001,Folkeskole 9.-10. klasse,10.0,2.0,2,600.0,,41.0
102501,,9.0,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1965,88,Male,1947,Folkeskole 6.-8. klasse,8.0,37.0,37,,,79.0
