Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
2021-08-27 10:30:00,2021-08-27 10:30:00,17880,-35,-0.00195367010884733,17910,17875,18010,675
2021-08-27 10:00:00,2021-08-27 10:00:00,17915,15,0.000837988826815642,17880,17870,17955,473
2021-08-27 09:30:00,2021-08-27 09:30:00,17900,-55,-0.00306321358952938,17965,17780,17980,1372
2021-08-26 17:00:00,2021-08-26 17:00:00,17955,20,0.00111513799832729,17935,17900,18030,6562
2021-08-26 16:30:00,2021-08-26 16:30:00,17935,25,0.00139586823003908,17915,17880,18010,1101
2021-08-26 16:00:00,2021-08-26 16:00:00,17910,-20,-0.0011154489682097,17930,17900,18005,1969
2021-08-26 15:30:00,2021-08-26 15:30:00,17930,80,0.00448179271708683,17850,17850,17945,1287
2021-08-26 15:00:00,2021-08-26 15:00:00,17850,30,0.00168350168350168,17825,17810,17880,810
2021-08-26 14:30:00,2021-08-26 14:30:00,17820,35,0.00196795052010121,17790,17785,17850,788
2021-08-26 14:00:00,2021-08-26 14:00:00,17785,40,0.00225415610030995,17750,17735,17790,909
2021-08-26 13:30:00,2021-08-26 13:30:00,17745,60,0.00339270568278202,17685,17650,17750,784
2021-08-26 13:00:00,2021-08-26 13:00:00,17685,5,0.000282805429864253,17675,17590,17690,822
2021-08-26 12:30:00,2021-08-26 12:30:00,17680,25,0.00141602945341263,17650,17575,17710,951
2021-08-26 12:00:00,2021-08-26 12:00:00,17655,-15,-0.000848896434634975,17660,17560,17665,954
2021-08-26 11:30:00,2021-08-26 11:30:00,17670,-15,-0.000848176420695505,17675,17570,17680,1029
2021-08-26 11:00:00,2021-08-26 11:00:00,17685,-60,-0.00338123415046492,17740,17685,17755,670
2021-08-26 10:30:00,2021-08-26 10:30:00,17745,0,0,17750,17665,17795,1317
2021-08-26 10:00:00,2021-08-26 10:00:00,17745,85,0.00481313703284258,17665,17665,17815,1398
2021-08-26 09:30:00,2021-08-26 09:30:00,17660,70,0.00397953382603752,17490,17490,17690,2416
2021-08-25 17:00:00,2021-08-25 17:00:00,17590,65,0.00370898716119829,17525,17510,17620,6527
2021-08-25 16:30:00,2021-08-25 16:30:00,17525,10,0.000570939194975735,17510,17490,17535,1652
2021-08-25 16:00:00,2021-08-25 16:00:00,17515,35,0.00200228832951945,17470,17460,17515,1279
2021-08-25 15:30:00,2021-08-25 15:30:00,17480,-5,-0.000285959393766085,17490,17475,17505,735
2021-08-25 15:00:00,2021-08-25 15:00:00,17485,10,0.000572246065808298,17470,17460,17530,831
2021-08-25 14:30:00,2021-08-25 14:30:00,17475,-5,-0.00028604118993135,17480,17440,17500,769
2021-08-25 14:00:00,2021-08-25 14:00:00,17480,-15,-0.000857387825092884,17490,17435,17500,973
2021-08-25 13:30:00,2021-08-25 13:30:00,17495,0,0,17495,17460,17510,637
2021-08-25 13:00:00,2021-08-25 13:00:00,17495,-20,-0.00114187838995147,17510,17485,17540,728
2021-08-25 12:30:00,2021-08-25 12:30:00,17515,-10,-0.000570613409415121,17525,17490,17530,528
2021-08-25 12:00:00,2021-08-25 12:00:00,17525,15,0.00085665334094803,17520,17505,17540,738
2021-08-25 11:30:00,2021-08-25 11:30:00,17510,-55,-0.0031312268716197,17560,17490,17600,1196
2021-08-25 11:00:00,2021-08-25 11:00:00,17565,-85,-0.00481586402266289,17645,17565,17685,815
2021-08-25 10:30:00,2021-08-25 10:30:00,17650,30,0.00170261066969353,17615,17540,17660,1305
2021-08-25 10:00:00,2021-08-25 10:00:00,17620,-15,-0.000850581230507513,17625,17620,17705,906
2021-08-25 09:30:00,2021-08-25 09:30:00,17635,10,0.000567375886524823,17625,17580,17670,1626
2021-08-24 17:00:00,2021-08-24 17:00:00,17625,-10,-0.000567054153671676,17630,17600,17720,6748
2021-08-24 16:30:00,2021-08-24 16:30:00,17635,-40,-0.00226308345120226,17665,17585,17695,1937
2021-08-24 16:00:00,2021-08-24 16:00:00,17675,80,0.00454674623472577,17595,17590,17690,1911
2021-08-24 15:30:00,2021-08-24 15:30:00,17595,-85,-0.00480769230769231,17675,17580,17680,2537
2021-08-24 15:00:00,2021-08-24 15:00:00,17680,5,0.000282885431400283,17665,17660,17695,981
2021-08-24 14:30:00,2021-08-24 14:30:00,17675,-75,-0.00422535211267606,17745,17640,17750,1130
2021-08-24 14:00:00,2021-08-24 14:00:00,17750,-15,-0.000844356881508584,17765,17735,17785,794
2021-08-24 13:30:00,2021-08-24 13:30:00,17765,-60,-0.00336605890603086,17825,17730,17855,1180
2021-08-24 13:00:00,2021-08-24 13:00:00,17825,-55,-0.00307606263982103,17890,17820,17910,801
2021-08-24 12:30:00,2021-08-24 12:30:00,17880,-40,-0.00223214285714286,17920,17860,17920,760
2021-08-24 12:00:00,2021-08-24 12:00:00,17920,-75,-0.00416782439566546,17990,17885,17990,709
